index	name	abbreviation	r	g	b	a
111	Right-putamen-intensity-abnormality	Right-putamen-intensity-abnormality	126	140	178	0
112	Right-accumbens-intensity-abnormality	Right-accumbens-intensity-abnormality	127	140	178	0
113	Right-pallidum-intensity-abnormality	Right-pallidum-intensity-abnormality	124	141	178	0
114	Right-amygdala-intensity-abnormality	Right-amygdala-intensity-abnormality	124	142	178	0
115	Right-hippocampus-intensity-abnormality	Right-hippocampus-intensity-abnormality	124	143	178	0
116	Right-thalamus-intensity-abnormality	Right-thalamus-intensity-abnormality	124	144	178	0
117	Right-VDC-intensity-abnormality	Right-VDC-intensity-abnormality	124	140	179	0
118	Epidermis	Epidermis	255	20	147	0
119	Conn-Tissue	Conn-Tissue	205	179	139	0
120	SC-Fat-Muscle	SC-Fat-Muscle	238	238	209	0
121	Cranium	Cranium	200	200	200	0
122	CSF-SA	CSF-SA	74	255	74	0
123	Muscle	Muscle	238	0	0	0
124	Ear	Ear	0	0	139	0
125	Adipose	Adipose	173	255	47	0
126	Spinal-Cord	Spinal-Cord	133	203	229	0
127	Soft-Tissue	Soft-Tissue	26	237	57	0
128	Nerve	Nerve	34	139	34	0
129	Bone	Bone	30	144	255	0
130	Air	Air	147	19	173	0
131	Orbital-Fat	Orbital-Fat	238	59	59	0
132	Tongue	Tongue	221	39	200	0
133	Nasal-Structures	Nasal-Structures	238	174	238	0
134	Globe	Globe	255	0	0	0
135	Teeth	Teeth	72	61	139	0
136	Left-Caudate-Putamen	Left-Caudate-Putamen	21	39	132	0
137	Right-Caudate-Putamen	Right-Caudate-Putamen	21	39	132	0
138	Left-Claustrum	Left-Claustrum	65	135	20	0
139	Right-Claustrum	Right-Claustrum	65	135	20	0
140	Cornea	Cornea	134	4	160	0
142	Diploe	Diploe	221	226	68	0
143	Vitreous-Humor	Vitreous-Humor	255	255	254	0
144	Lens	Lens	52	209	226	0
145	Aqueous-Humor	Aqueous-Humor	239	160	223	0
146	Outer-Table	Outer-Table	70	130	180	0
147	Inner-Table	Inner-Table	70	130	181	0
148	Periosteum	Periosteum	139	121	94	0
149	Endosteum	Endosteum	224	224	224	0
150	R-C-S	R-C-S	255	0	0	0
151	Iris	Iris	205	205	0	0
152	SC-Adipose-Muscle	SC-Adipose-Muscle	238	238	209	0
153	SC-Tissue	SC-Tissue	139	121	94	0
154	Orbital-Adipose	Orbital-Adipose	238	59	59	0
155	Left-IntCapsule-Ant	Left-IntCapsule-Ant	238	59	59	0
156	Right-IntCapsule-Ant	Right-IntCapsule-Ant	238	59	59	0
157	Left-IntCapsule-Pos	Left-IntCapsule-Pos	62	10	205	0
158	Right-IntCapsule-Pos	Right-IntCapsule-Pos	62	10	205	0
159	Left-Cerebral-WM-unmyelinated	Left-Cerebral-WM-unmyelinated	0	118	14	0
160	Right-Cerebral-WM-unmyelinated	Right-Cerebral-WM-unmyelinated	0	118	14	0
161	Left-Cerebral-WM-myelinated	Left-Cerebral-WM-myelinated	220	216	21	0
162	Right-Cerebral-WM-myelinated	Right-Cerebral-WM-myelinated	220	216	21	0
163	Left-Subcortical-Gray-Matter	Left-Subcortical-Gray-Matter	122	186	220	0
